time,logger,level,database,message,exception
2013-05-22 20:58:12.7526,Raven.Database.Server.HttpServer,Debug,,"	PUT VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313
",
2013-05-22 20:58:12.7526,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,Document with key 'VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313' was found,
2013-05-22 20:58:12.7682,Raven.Database.Server.HttpServer,Debug,,Request #   8: GET     -     6 ms - Paramore_Integration_Tests - 200 - /docs/VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313,
2013-05-22 20:58:12.8618,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,"After read triggers executed, 1 documents remained",
2013-05-22 20:58:12.8774,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Delete a document with key: VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313 and etag ,
2013-05-22 20:58:12.8774,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,Document with key 'VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313' was deleted,
2013-05-22 20:58:12.8930,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,"All documents have been filtered for Raven/DocumentsByEntityName, no indexing will be performed, updating to 00000001-0000-0100-0000-000000000001, 05/22/2013 19:58:12",
2013-05-22 20:58:12.9086,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,Incremented work counter to 3 because: DEL VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313,
2013-05-22 20:58:12.9086,Raven.Database.DocumentDatabase,Debug,Paramore_Integration_Tests,Successfully executed 1 commands in 00:00:00.0356844,
2013-05-22 20:58:12.9242,Raven.Database.Indexing.WorkContext,Debug,Paramore_Integration_Tests,"No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work",
2013-05-22 20:58:12.9242,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore_Integration_Tests,"Executing Index: Raven/DocumentsByEntityName, Keys: VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313",
2013-05-22 20:58:12.9242,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore_Integration_Tests,Document with key 'VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313' was not found,
2013-05-22 20:58:12.9086,Raven.Database.Server.HttpServer,Debug,,Request #   9: POST    -    43 ms - Paramore_Integration_Tests - 200 - /bulk_docs,
2013-05-22 20:58:12.9398,Raven.Database.Server.HttpServer,Debug,,"	DELETE VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313
",
2013-05-22 20:58:12.9554,Raven.Database.Indexing.Index.Indexing,Debug,Paramore_Integration_Tests,Deleting (VenueDocuments/c3c27027-b5c9-43bf-8259-a86f06be8313) from Raven/DocumentsByEntityName,
