time,logger,level,database,message,exception
2013-05-29 12:44:58.3932,Raven.Database.Server.HttpServer,Debug,,"	Query: Tag:VenueDocuments
	Time: 208 ms
	Index: Raven/DocumentsByEntityName
	Results: 4 returned out of 4 total.
",
2013-05-29 12:44:59.0796,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore,Document with key 'Raven/Replication/Destinations' was not found,
2013-05-29 12:44:59.0796,Raven.Database.Server.HttpServer,Debug,,Request #   3: GET     -     0 ms - Paramore   - 404 - /docs/Raven/Replication/Destinations,
2013-05-29 12:48:23.1000,Raven.Database.Server.HttpServer,Debug,,Request #   4: GET     -    27 ms - Paramore   - 304 - /indexes/dynamic/VenueDocuments?query=&pageSize=128,
2013-05-29 12:48:23.1000,Raven.Database.Server.HttpServer,Debug,,"	Query: 
	Time: 26 ms
",
2013-05-29 12:49:29.2799,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore,"Inserted a new document with key 'VenueDocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf', update: False, ",
2013-05-29 12:49:29.2799,Raven.Database.DocumentDatabase,Debug,Paramore,Put document VenueDocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf with etag 00000001-0000-0700-0000-000000000001,
2013-05-29 12:49:29.2799,Raven.Database.Indexing.WorkContext,Debug,Paramore,Incremented work counter to 1 because: PUT VenueDocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf,
2013-05-29 12:49:29.2799,Raven.Database.DocumentDatabase,Debug,Paramore,Successfully executed 1 commands in 00:00:00.0322441,
2013-05-29 12:49:29.2955,Raven.Database.Server.HttpServer,Debug,,Request #   5: POST    -    60 ms - Paramore   - 200 - /bulk_docs,
2013-05-29 12:49:29.2955,Raven.Database.Server.HttpServer,Debug,,"	PUT VenueDocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf
",
2013-05-29 12:49:29.3423,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Paramore,Document with key 'VenueDocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf' was found,
2013-05-29 12:49:29.3423,Raven.Database.Server.HttpServer,Debug,,Request #   6: GET     -    20 ms - Paramore   - 200 - /docs/VenueDocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf,
2013-05-29 12:49:29.3891,Raven.Database.Indexing.WorkContext,Debug,Paramore,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2013-05-29 12:49:29.4203,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0600-0000-000000000002: (VenueDocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf),
2013-05-29 12:49:29.4515,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore,"After read triggers executed, 1 documents remained",
2013-05-29 12:49:29.4515,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Paramore,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0600-0000-000000000002: (VenueDocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf)",
2013-05-29 12:49:29.4827,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (VenueDocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf),
2013-05-29 12:49:29.6231,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on VenueDocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: venuedocuments/3516c5d7-5d5b-454e-8097-51cb3a71dfcf
	Tag I-: VenueDocuments
	LastModified I-: 2013-05-29T11:49:29.2799620Z
",
2013-05-29 12:49:29.8103,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 1 documents for Raven/DocumentsByEntityName,
2013-05-29 12:49:29.8103,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0700-0000-000000000001 for Raven/DocumentsByEntityName",
2013-05-29 12:49:29.8571,Raven.Database.Indexing.WorkContext,Debug,Paramore,Incremented work counter to 2 because: WORK BY IndexingExecuter,
2013-05-29 12:49:29.8571,Raven.Database.Indexing.WorkContext,Debug,Paramore,"No work was found, workerWorkCounter: 2, for: IndexingExecuter, will wait for additional work",
2013-05-29 12:49:29.8571,Raven.Database.Indexing.WorkContext,Debug,Paramore,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2013-05-29 13:05:16.4840,Raven.Database.Indexing.WorkContext,Debug,,Stopping background workers,
